nombre;CP;Accesibilidad;latitude;longitude;general;residencial
Aparcamiento mixto. Arquitecto Ribera;28004;0;40.426687899755734;-3.6996173701222492;318;298
Aparcamiento mixto. Avenida de América (intercambiador);28002;0;40.43886083125741;-3.6766217383743345;9;269
Aparcamiento mixto. Avenida de Portugal;28011;0;40.411180021966345;-3.7378318857463158;433;437
Aparcamiento mixto. Brasil;28020;0;40.45610834965894;-3.694131675088486;226;400
Aparcamiento mixto. Casino de la Reina;28005;0;40.406792648617134;-3.7046086019457167;135;449
Aparcamiento mixto. Condesa de Gavia;28020;0;40.44938567948415;-3.7019164121880888;73;79
Aparcamiento mixto. Corazón de María II;28002;0;40.444421820483264;-3.666902094780133;327;750
Aparcamiento mixto. Corona Boreal;28023;1;40.45852127134047;-3.78317943069732;120;125
Aparcamiento mixto. Daoíz y Velarde;28007;0;40.40531540835356;-3.683557034656531;312;174
Aparcamiento mixto. Díaz Porlier;28006;0;40.434415601006386;-3.675728293375598;203;421
Aparcamiento mixto. Encuentro;28030;0;40.40581270738191;-3.652048809515808;104;550
Aparcamiento mixto. Felipe II;28009;0;40.42422175692137;-3.673433652213169;1218;607
Aparcamiento mixto. Fuencarral;28010;0;40.42948845687032;-3.7027941027177986;410;111
Aparcamiento mixto. General Yagüe;28020;0;40.45673936450418;-3.694067405537416;409;717
Aparcamiento mixto. Hernani;28020;0;40.448394729978006;-3.7033919552673127;115;383
Aparcamiento mixto. Jacinto Benavente;28012;0;40.41444016371457;-3.70332112917586;285;110
Aparcamiento mixto. José Castán Tobeñas;28020;0;40.46451060463543;-3.6916467875121377;205;43
Aparcamiento mixto. Marqués de Salamanca;28006;0;40.43046723981028;-3.6792137901324056;360;70
Aparcamiento mixto. Miguel Yuste;28037;0;40.4402052387976;-3.625049272913964;182;68
Aparcamiento mixto. Orense;28020;0;40.45973534025835;-3.6962330375922363;128;663
Aparcamiento mixto. Plaza de Oriente;28013;0;40.417632509561116;-3.7116407088004757;242;511
Aparcamiento mixto. Presidente Carmona;28020;0;40.45362846199134;-3.6975262417380064;379;124
Aparcamiento mixto. Recoletos;28001;0;40.42054469225109;-3.691974283683488;102;289
Aparcamiento mixto. República Dominicana;28016;0;40.45887037458626;-3.6765275895176677;892;203
Aparcamiento mixto. San Cayetano;28028;0;40.43432235224971;-3.6700799322371056;222;261
Aparcamiento mixto. Sánchez Bustillo;28012;0;40.40917205238472;-3.6940145592988043;132;408
Aparcamiento mixto. Serrano I;28006;0;40.43289700914247;-3.6857697780390155;307;831
Aparcamiento mixto. Serrano II;28006;0;40.43059379257075;-3.688281097618061;379;794
Aparcamiento mixto. Serrano III;28001;0;40.42446775888825;-3.6897747066093993;261;725
Aparcamiento mixto. Sevilla;28014;0;40.41780383567921;-3.6998082261071747;476;70
Aparcamiento mixto. Vázquez de Mella;28004;0;40.4209564450911;-3.699899832865304;107;261
Aparcamiento mixto. Velázquez - Ayala;28001;0;40.427203787185476;-3.6841676172873936;464;235
Aparcamiento mixto. Velázquez - Jorge Juan;28001;1;40.4243649253884;-3.684339253399854;549;395
Aparcamiento mixto. Verdaguer y García;28027;0;40.43992277144076;-3.656505118007155;83;180
Aparcamiento público disuasorio Estadio Metropolitano Sur ES-02b;28022;0;40.434154;-3.598831;1719;61
Aparcamiento público. Almagro;28010;0;40.43030345785862;-3.6931471299523446;462;1
Aparcamiento público. Auditorio Nacional de Música (Príncipe de Vergara);28002;1;40.44426892073378;-3.6777018495296048;376;24
Aparcamiento público. Descalzas;28013;1;40.41809765692244;-3.706306013191402;400;24
Aparcamiento público. Fernández Shaw;28007;0;40.406002468696784;-3.669292239090564;245;24
Aparcamiento público. Glorieta Puerta de Toledo;28005;1;40.40745328367243;-3.7100131737859567;244;24
Aparcamiento público. Las Cortes;28014;1;40.41576756093728;-3.695367083138702;480;24
Aparcamiento público. Luna - Tudescos;28004;1;40.4214535549175;-3.705563118253955;481;24
Aparcamiento público. Marqués de Urquijo;28008;0;40.42955928333471;-3.719111078507027;482;24
Aparcamiento público. Montalbán;28014;1;40.41802725000116;-3.691123387515545;275;24
Aparcamiento público. Mostenses;28015;1;40.4227759148193;-3.708830424647755;362;1
Aparcamiento público. Museo de la Ciudad;28002;0;40.44366224087455;-3.6782263814004565;147;24
Aparcamiento público. Olavide;28010;0;40.43277769820206;-3.7011542013121264;1;397
Aparcamiento público. Plaza de Colón;28001;1;40.42518540300912;-3.6887800207651495;605;24
Aparcamiento público. Plaza de España;28008;0;40.42372251184839;-3.7116577340508523;800;535
Aparcamiento público. Plaza del Carmen;28013;0;40.41848676016168;-3.703068586180966;450;1
Aparcamiento público. Plaza del Rey;28004;0;40.42018796139455;-3.69587231093941;160;1
Aparcamiento público. Plaza Mayor;28012;0;40.41586882022003;-3.706895619414367;694;24
Aparcamiento público. Santa Ana;28012;1;40.41487830605113;-3.700897645451053;325;1
Aparcamiento público. Velázquez - Juan Bravo;28006;1;40.431991827319116;-3.683449815935094;371;24
Aparcamiento público. Villa de París;28004;1;40.42533530030625;-3.6923416648619947;169;2
