nombre,long,lat,hora,NO2
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 00:00:00,77
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 01:00:00,65
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 02:00:00,55
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 03:00:00,48
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 04:00:00,44
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 05:00:00,37
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 06:00:00,41
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 07:00:00,61
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 08:00:00,83
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 09:00:00,105
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 10:00:00,117
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 11:00:00,94
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 12:00:00,83
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 13:00:00,79
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 14:00:00,75
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 15:00:00,77
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 16:00:00,60
Pza. de España,-3.7122472222222225,40.423852777777775,2017-10-25 17:00:00,66
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 00:00:00,120
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 01:00:00,72
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 02:00:00,45
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 03:00:00,37
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 04:00:00,35
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 05:00:00,37
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 06:00:00,55
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 07:00:00,81
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 08:00:00,98
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 09:00:00,100
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 10:00:00,79
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 11:00:00,76
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 12:00:00,74
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 13:00:00,71
Escuelas Aguirre,-3.6823194444444445,40.42156388888888,2017-10-25 14:00:00,70
